case_id,customer_id,contract_id,product_id,owner_employee_id,opened_by_contact_id,case_type,priority,channel,status,opened_at,first_response_at,resolved_at,resolution_category,escalation_level,satisfaction_score,created_at,updated_at,batch_id
CASE_000001,CUST_000001,CNTR_000001,PROD_000010,EMP_000018,CONT_000001,integration_issue,urgent,phone,resolved,2024-05-25 10:50:00,2024-05-25 11:52:25,2024-05-26 09:22:46,resolved_by_support,0,5,2024-05-25 10:50:00,2024-05-26 09:22:46,batch_2026_06_13_001
CASE_000002,CUST_000002,CNTR_000005,PROD_000007,EMP_000067,CONT_000003,technical_issue,low,chat,resolved,2024-05-24 09:40:00,2024-05-25 14:14:07,2024-06-06 01:48:31,resolved_by_support,0,4,2024-05-24 09:40:00,2024-06-06 01:48:31,batch_2026_06_13_001
CASE_000003,CUST_000002,CNTR_000003,PROD_000007,EMP_000093,CONT_000003,billing_question,medium,portal,in_progress,2021-09-15 12:10:00,2021-09-16 08:52:19,,,1,,2021-09-15 12:10:00,2026-06-13 09:00:00,batch_2026_06_13_001
CASE_000004,CUST_000002,CNTR_000005,PROD_000007,EMP_000093,CONT_000002,billing_question,medium,email,resolved,2026-04-29 16:50:00,2026-04-30 00:20:22,2026-05-08 19:51:33,product_fix,0,5,2026-04-29 16:50:00,2026-05-08 19:51:33,batch_2026_06_13_001
CASE_000005,CUST_000002,CNTR_000005,PROD_000007,EMP_000029,CONT_000002,integration_issue,medium,chat,resolved,2025-06-19 11:40:00,2025-06-20 07:36:01,2025-06-29 03:28:59,product_fix,0,4,2025-06-19 11:40:00,2025-06-29 03:28:59,batch_2026_06_13_001
CASE_000006,CUST_000002,CNTR_000005,PROD_000007,EMP_000087,CONT_000002,technical_issue,medium,email,resolved,2026-03-01 17:10:00,2026-03-02 02:28:01,2026-03-09 19:17:58,configuration_change,0,4,2026-03-01 17:10:00,2026-03-09 19:17:58,batch_2026_06_13_001
CASE_000007,CUST_000002,CNTR_000004,PROD_000007,EMP_000075,CONT_000002,technical_issue,medium,email,resolved,2023-03-10 09:10:00,2023-03-11 00:00:53,2023-03-18 15:40:51,billing_adjustment,1,3,2023-03-10 09:10:00,2023-03-18 15:40:51,batch_2026_06_13_001
CASE_000008,CUST_000002,CNTR_000005,PROD_000007,EMP_000012,CONT_000003,onboarding_help,medium,chat,resolved,2026-02-11 14:40:00,2026-02-12 16:22:39,2026-02-22 22:50:39,billing_adjustment,0,4,2026-02-11 14:40:00,2026-02-22 22:50:39,batch_2026_06_13_001
CASE_000009,CUST_000002,CNTR_000003,PROD_000007,EMP_000069,CONT_000002,technical_issue,low,phone,resolved,2021-06-23 13:50:00,2021-06-24 05:05:09,2021-07-03 23:42:16,resolved_by_support,0,5,2021-06-23 13:50:00,2021-07-03 23:42:16,batch_2026_06_13_001
CASE_000010,CUST_000002,CNTR_000004,PROD_000007,EMP_000124,CONT_000003,integration_issue,medium,email,resolved,2024-04-04 08:00:00,2024-04-05 00:47:46,2024-04-08 08:31:33,product_fix,0,5,2024-04-04 08:00:00,2024-04-08 08:31:33,batch_2026_06_13_001
