contract_id,customer_id,product_id,originating_opportunity_id,owner_employee_id,contract_status,contract_type,start_date,end_date,renewal_date,contract_value,billing_frequency,auto_renew,canceled_at,cancellation_reason,created_at,updated_at,batch_id
CNTR_000001,CUST_000001,PROD_000010,OPP_000001,EMP_000060,expired,new,2023-11-18,2024-11-17,2024-09-18,10813.91,quarterly,true,,,2023-11-18 09:00:00,2024-11-17 17:00:00,batch_2026_06_13_001
CNTR_000002,CUST_000001,PROD_000010,OPP_000002,EMP_000029,canceled,expansion,2024-11-18,2025-11-17,2025-09-18,9554.13,monthly,true,2025-02-21,business_closed,2024-11-18 09:00:00,2025-02-21 17:00:00,batch_2026_06_13_001
CNTR_000003,CUST_000002,PROD_000007,OPP_000003,EMP_000010,expired,new,2021-04-24,2022-04-23,2022-02-22,6676.58,annual,true,,,2021-04-24 09:00:00,2022-04-23 17:00:00,batch_2026_06_13_001
CNTR_000004,CUST_000002,PROD_000007,OPP_000003,EMP_000032,expired,renewal,2022-04-24,2024-04-23,2024-02-23,6988.15,annual,false,,,2022-04-24 09:00:00,2024-04-23 17:00:00,batch_2026_06_13_001
CNTR_000005,CUST_000002,PROD_000007,OPP_000006,EMP_000029,expired,renewal,2024-04-24,2026-04-23,2026-02-22,7314.27,quarterly,true,,,2024-04-24 09:00:00,2026-04-23 17:00:00,batch_2026_06_13_001
CNTR_000006,CUST_000003,PROD_000007,OPP_000007,EMP_000084,active,new,2026-04-08,2029-04-07,2029-02-06,13495.11,monthly,false,,,2026-04-08 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CNTR_000007,CUST_000004,PROD_000002,OPP_000008,EMP_000133,expired,new,2023-03-03,2026-03-02,2026-01-01,9649.74,annual,true,,,2023-03-03 09:00:00,2026-03-02 17:00:00,batch_2026_06_13_001
CNTR_000008,CUST_000005,PROD_000001,OPP_000011,EMP_000092,active,new,2026-04-27,2029-04-26,2029-02-25,36001.99,annual,true,,,2026-04-27 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CNTR_000009,CUST_000006,PROD_000004,OPP_000012,EMP_000078,expired,new,2021-09-20,2022-09-19,2022-07-21,50971.66,annual,true,,,2021-09-20 09:00:00,2022-09-19 17:00:00,batch_2026_06_13_001
CNTR_000010,CUST_000006,PROD_000004,OPP_000012,EMP_000113,expired,renewal,2022-09-20,2024-11-16,2024-09-17,42886.91,annual,false,,competitor,2022-09-20 09:00:00,2024-11-16 17:00:00,batch_2026_06_13_001
CNTR_000011,CUST_000007,PROD_000001,OPP_000014,EMP_000033,active,new,2024-11-15,2027-11-14,2027-09-15,9784.10,annual,true,,,2024-11-15 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CNTR_000012,CUST_000008,PROD_000015,OPP_000017,EMP_000060,active,new,2025-09-07,2026-09-06,2026-07-08,44373.00,annual,true,,,2025-09-07 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CNTR_000013,CUST_000009,PROD_000004,OPP_000018,EMP_000114,expired,new,2022-07-17,2024-06-01,2024-04-02,4135.39,quarterly,false,,low_adoption,2022-07-17 09:00:00,2024-06-01 17:00:00,batch_2026_06_13_001
CNTR_000014,CUST_000010,PROD_000002,OPP_000020,EMP_000009,expired,new,2021-05-03,2023-05-02,2023-03-03,5903.41,quarterly,true,,,2021-05-03 09:00:00,2023-05-02 17:00:00,batch_2026_06_13_001
CNTR_000015,CUST_000010,PROD_000007,OPP_000022,EMP_000113,expired,add_on,2023-05-03,2025-05-02,2025-03-03,8631.12,annual,true,,,2023-05-03 09:00:00,2025-05-02 17:00:00,batch_2026_06_13_001
CNTR_000016,CUST_000010,PROD_000010,OPP_000024,EMP_000006,active,add_on,2025-05-03,2027-05-02,2027-03-03,12842.67,monthly,false,,,2025-05-03 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CNTR_000017,CUST_000011,PROD_000012,OPP_000025,EMP_000032,active,new,2025-11-12,2028-11-11,2028-09-12,364979.00,annual,true,,,2025-11-12 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CNTR_000018,CUST_000012,PROD_000016,OPP_000026,EMP_000007,active,new,2025-12-24,2026-12-23,2026-10-24,4170.27,quarterly,false,,,2025-12-24 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CNTR_000019,CUST_000013,PROD_000001,OPP_000027,EMP_000032,active,new,2026-01-15,2028-01-14,2027-11-15,6526.29,monthly,true,,,2026-01-15 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_001
CNTR_000020,CUST_000014,PROD_000002,OPP_000028,EMP_000034,canceled,new,2024-01-08,2025-01-07,2024-11-08,2891.39,annual,false,2024-10-24,missing_features,2024-01-08 09:00:00,2024-10-24 17:00:00,batch_2026_06_13_001
