outcome_id,customer_id,contract_id,related_case_id,related_service_event_id,outcome_type,outcome_date,outcome_status,outcome_value,renewal_flag,churn_flag,expansion_flag,resolution_flag,revenue_impact,created_at,updated_at,batch_id
OUT_000001,CUST_000001,CNTR_000001,,SEVT_000001,adoption_milestone,2023-12-23,partial,55.62,false,false,false,false,0.00,2023-12-23 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000002,CUST_000001,CNTR_000002,,,renewal,2024-11-18,achieved,77.00,true,false,false,false,9554.13,2024-11-18 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000003,CUST_000001,CNTR_000002,,,revenue_growth,2024-11-30,achieved,84.50,false,false,true,false,0.00,2024-11-30 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000004,CUST_000001,CNTR_000002,,SEVT_000003,churn,2025-02-21,completed,100.00,false,true,false,false,-9554.13,2025-02-21 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000005,CUST_000002,CNTR_000003,,SEVT_000007,adoption_milestone,2021-08-05,achieved,70.10,false,false,false,false,0.00,2021-08-05 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000006,CUST_000002,CNTR_000004,,,renewal,2022-04-24,achieved,87.00,true,false,false,false,6988.15,2022-04-24 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000007,CUST_000002,CNTR_000005,,,renewal,2024-04-24,achieved,87.00,true,false,false,false,7314.27,2024-04-24 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000008,CUST_000002,CNTR_000005,CASE_000002,SEVT_000019,case_resolution,2024-06-07,achieved,80.00,false,false,false,true,0.00,2024-06-07 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000009,CUST_000003,CNTR_000006,,SEVT_000037,adoption_milestone,2026-06-13,achieved,39.50,false,false,false,false,0.00,2026-06-13 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000010,CUST_000004,CNTR_000007,,SEVT_000040,adoption_milestone,2023-05-08,achieved,81.78,false,false,false,false,0.00,2023-05-08 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000011,CUST_000005,CNTR_000008,,,adoption_milestone,2026-06-13,partial,89.00,false,false,false,false,0.00,2026-06-13 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000012,CUST_000006,CNTR_000009,,SEVT_000056,adoption_milestone,2021-11-15,achieved,63.75,false,false,false,false,0.00,2021-11-15 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000013,CUST_000006,CNTR_000010,,SEVT_000058,renewal,2022-09-20,achieved,83.67,true,false,false,false,42886.91,2022-09-20 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000014,CUST_000006,CNTR_000010,CASE_000022,SEVT_000082,case_resolution,2024-02-24,achieved,80.00,false,false,false,true,0.00,2024-02-24 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000015,CUST_000006,CNTR_000010,CASE_000023,SEVT_000085,case_resolution,2023-07-04,achieved,60.00,false,false,false,true,0.00,2023-07-04 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000016,CUST_000006,CNTR_000009,CASE_000027,SEVT_000095,case_resolution,2022-01-18,achieved,60.00,false,false,false,true,0.00,2022-01-18 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000017,CUST_000006,CNTR_000010,CASE_000020,SEVT_000090,churn,2024-11-16,completed,100.00,false,true,false,false,-42886.91,2024-11-16 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000018,CUST_000007,CNTR_000011,,SEVT_000106,adoption_milestone,2025-01-21,missed,57.62,false,false,false,false,0.00,2025-01-21 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000019,CUST_000008,CNTR_000012,,SEVT_000118,adoption_milestone,2025-12-25,achieved,67.60,false,false,false,false,0.00,2025-12-25 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000020,CUST_000009,CNTR_000013,,SEVT_000124,adoption_milestone,2022-09-18,partial,60.98,false,false,false,false,0.00,2022-09-18 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000021,CUST_000009,CNTR_000013,CASE_000039,SEVT_000134,case_resolution,2023-08-18,achieved,80.00,false,false,false,true,0.00,2023-08-18 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000022,CUST_000009,CNTR_000013,CASE_000040,SEVT_000136,churn,2024-06-01,completed,100.00,false,true,false,false,-4135.39,2024-06-01 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000023,CUST_000010,CNTR_000014,,SEVT_000142,adoption_milestone,2021-07-06,achieved,100.00,false,false,false,false,0.00,2021-07-06 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000024,CUST_000010,CNTR_000015,,SEVT_000143,renewal,2023-05-03,achieved,97.67,true,false,false,false,8631.12,2023-05-03 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
OUT_000025,CUST_000010,CNTR_000015,,SEVT_000143,revenue_growth,2023-05-28,achieved,95.00,false,false,true,false,2727.71,2023-05-28 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
