service_event_id,customer_id,contact_id,employee_id,case_id,contract_id,product_id,event_type,event_direction,event_channel,event_at,duration_minutes,sentiment_score,outcome_category,created_at,updated_at,batch_id
SEVT_000001,CUST_000001,CONT_000001,EMP_000036,,CNTR_000001,PROD_000010,onboarding_kickoff,outbound,video,2023-11-24 10:00:00,34,-11,next_step_scheduled,2023-11-24 10:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000002,CUST_000001,CONT_000001,EMP_000036,,CNTR_000001,PROD_000010,implementation_session,outbound,video,2023-12-13 13:00:00,86,4,adoption_progress,2023-12-13 13:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000003,CUST_000001,CONT_000001,EMP_000036,,CNTR_000002,PROD_000010,success_check_in,outbound,video,2025-01-27 15:15:00,80,-37,follow_up_needed,2025-01-27 15:15:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000004,CUST_000001,CONT_000001,EMP_000020,,CNTR_000002,PROD_000010,qbr,outbound,video,2025-01-21 12:15:00,56,-48,follow_up_needed,2025-01-21 12:15:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000005,CUST_000001,CONT_000001,EMP_000018,CASE_000001,CNTR_000001,PROD_000010,support_call,inbound,phone,2024-05-25 11:59:00,18,-9,triaged,2024-05-25 11:59:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000006,CUST_000001,CONT_000001,EMP_000018,CASE_000001,CNTR_000001,PROD_000010,resolution_follow_up,outbound,portal,2024-05-26 18:22:46,8,61,resolved,2024-05-26 18:22:46,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000007,CUST_000002,CONT_000002,EMP_000029,,CNTR_000003,PROD_000007,onboarding_kickoff,outbound,video,2021-04-25 10:00:00,75,17,next_step_scheduled,2021-04-25 10:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000008,CUST_000002,CONT_000003,EMP_000031,,CNTR_000005,PROD_000007,renewal_review,outbound,email,2025-01-13 14:30:00,69,23,neutral,2025-01-13 14:30:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000009,CUST_000002,CONT_000002,EMP_000114,,CNTR_000005,PROD_000007,usage_review,outbound,phone,2025-03-18 12:00:00,18,14,neutral,2025-03-18 12:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000010,CUST_000002,CONT_000003,EMP_000014,,CNTR_000003,PROD_000007,success_check_in,outbound,email,2022-03-19 10:15:00,53,17,neutral,2022-03-19 10:15:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000011,CUST_000002,CONT_000003,EMP_000051,,CNTR_000004,PROD_000007,success_check_in,outbound,email,2023-03-04 11:15:00,27,0,neutral,2023-03-04 11:15:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000012,CUST_000002,CONT_000003,EMP_000028,,CNTR_000005,PROD_000007,qbr,outbound,email,2025-05-04 15:00:00,27,5,neutral,2025-05-04 15:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000013,CUST_000002,CONT_000002,EMP_000028,,CNTR_000005,PROD_000007,success_check_in,outbound,video,2025-12-13 14:15:00,55,12,neutral,2025-12-13 14:15:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000014,CUST_000002,CONT_000003,EMP_000064,,CNTR_000005,PROD_000007,training_session,outbound,portal,2025-04-16 11:45:00,43,31,neutral,2025-04-16 11:45:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000015,CUST_000002,CONT_000003,EMP_000096,,CNTR_000005,PROD_000007,success_check_in,outbound,email,2025-05-21 13:30:00,89,17,neutral,2025-05-21 13:30:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000016,CUST_000002,CONT_000003,EMP_000109,,CNTR_000004,PROD_000007,training_session,outbound,email,2023-12-08 09:00:00,88,16,neutral,2023-12-08 09:00:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000017,CUST_000002,CONT_000002,EMP_000080,,CNTR_000003,PROD_000007,training_session,outbound,phone,2021-09-20 15:45:00,18,16,neutral,2021-09-20 15:45:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000018,CUST_000002,CONT_000003,EMP_000067,CASE_000002,CNTR_000005,PROD_000007,support_call,inbound,chat,2024-05-24 10:33:00,31,-3,triaged,2024-05-24 10:33:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000019,CUST_000002,CONT_000003,EMP_000067,CASE_000002,CNTR_000005,PROD_000007,resolution_follow_up,outbound,email,2024-06-07 00:48:31,12,44,resolved,2024-06-07 00:48:31,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000020,CUST_000002,CONT_000003,EMP_000093,CASE_000003,CNTR_000003,PROD_000007,support_call,inbound,portal,2021-09-15 13:16:00,34,-9,triaged,2021-09-15 13:16:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000021,CUST_000002,CONT_000003,EMP_000093,CASE_000003,CNTR_000003,PROD_000007,escalation_review,internal,internal_note,2021-09-17 22:21:28,22,-27,escalated,2021-09-17 22:21:28,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000022,CUST_000002,CONT_000002,EMP_000093,CASE_000004,CNTR_000005,PROD_000007,support_email,inbound,email,2026-04-29 17:37:00,32,-20,triaged,2026-04-29 17:37:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000023,CUST_000002,CONT_000002,EMP_000093,CASE_000004,CNTR_000005,PROD_000007,resolution_follow_up,outbound,email,2026-05-09 19:51:33,28,28,resolved,2026-05-09 19:51:33,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000024,CUST_000002,CONT_000002,EMP_000029,CASE_000005,CNTR_000005,PROD_000007,support_call,inbound,chat,2025-06-19 12:38:00,44,-11,triaged,2025-06-19 12:38:00,2026-06-13 09:00:00,batch_2026_06_13_002
SEVT_000025,CUST_000002,CONT_000002,EMP_000029,CASE_000005,CNTR_000005,PROD_000007,resolution_follow_up,outbound,email,2025-06-29 20:28:59,23,32,resolved,2025-06-29 20:28:59,2026-06-13 09:00:00,batch_2026_06_13_002
