case_id,customer_id,contract_id,product_id,owner_employee_id,opened_by_contact_id,case_type,priority,channel,status,opened_at,first_response_at,resolved_at,resolution_category,escalation_level,satisfaction_score,created_at,updated_at,batch_id
CASE_054701,CUST_010001,CNTR_014941,PROD_000015,EMP_000218,CONT_026811,onboarding_question,medium,email,resolved,2026-06-13 10:00:00,2026-06-13 10:45:00,2026-06-13 16:30:00,answered_question,0,4,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054702,CUST_010004,CNTR_014944,PROD_000001,EMP_000220,CONT_026815,onboarding_question,medium,email,resolved,2026-06-13 10:00:00,2026-06-13 10:45:00,2026-06-13 16:30:00,answered_question,0,4,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054703,CUST_010007,CNTR_014947,PROD_000004,EMP_000360,CONT_026819,onboarding_question,medium,email,resolved,2026-06-13 10:00:00,2026-06-13 10:45:00,2026-06-13 16:30:00,answered_question,0,4,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054704,CUST_010010,CNTR_014950,PROD_000018,EMP_000397,CONT_026823,onboarding_question,medium,email,resolved,2026-06-13 10:00:00,2026-06-13 10:45:00,2026-06-13 16:30:00,answered_question,0,4,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054705,CUST_010013,CNTR_014953,PROD_000002,EMP_000159,CONT_026827,onboarding_question,medium,email,resolved,2026-06-13 10:00:00,2026-06-13 10:45:00,2026-06-13 16:30:00,answered_question,0,4,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054706,CUST_000002,CNTR_000005,PROD_000007,EMP_000100,CONT_000002,renewal_risk,critical,email,resolved,2026-06-13 10:00:00,2026-06-13 10:45:00,2026-06-13 16:30:00,customer_churned,2,1,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054707,CUST_000003,CNTR_000006,PROD_000007,EMP_000275,CONT_000004,renewal_risk,critical,email,resolved,2026-06-13 10:00:00,2026-06-13 10:45:00,2026-06-13 16:30:00,customer_churned,2,1,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054708,CUST_000004,CNTR_000007,PROD_000002,EMP_000316,CONT_000007,renewal_risk,critical,email,resolved,2026-06-13 10:00:00,2026-06-13 10:45:00,2026-06-13 16:30:00,customer_churned,2,1,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054709,CUST_000011,CNTR_000017,PROD_000012,EMP_000298,CONT_000025,technical_issue,high,email,open,2026-06-13 10:00:00,2026-06-13 10:45:00,,pending_engineering,1,2,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054710,CUST_000012,CNTR_000018,PROD_000016,EMP_000418,CONT_000030,technical_issue,high,email,open,2026-06-13 10:00:00,2026-06-13 10:45:00,,pending_engineering,1,2,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CASE_054711,CUST_000013,CNTR_000019,PROD_000001,EMP_000243,CONT_000033,technical_issue,high,email,open,2026-06-13 10:00:00,2026-06-13 10:45:00,,pending_engineering,1,2,2026-06-13 10:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
