contract_id,customer_id,product_id,originating_opportunity_id,owner_employee_id,contract_status,contract_type,start_date,end_date,renewal_date,contract_value,billing_frequency,auto_renew,canceled_at,cancellation_reason,created_at,updated_at,batch_id
CNTR_014941,CUST_010001,PROD_000015,OPP_021491,EMP_000113,active,new,2026-06-13,2027-06-12,2027-04-13,10207.37,monthly,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014942,CUST_010002,PROD_000007,OPP_021492,EMP_000254,active,new,2026-06-13,2027-06-12,2027-04-13,15093.45,monthly,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014943,CUST_010003,PROD_000004,OPP_021493,EMP_000305,active,new,2026-06-13,2027-06-12,2027-04-13,78223.46,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014944,CUST_010004,PROD_000001,OPP_021494,EMP_000311,active,new,2026-06-13,2027-06-12,2027-04-13,179026.83,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014945,CUST_010005,PROD_000001,OPP_021495,EMP_000403,active,new,2026-06-13,2027-06-12,2027-04-13,10140.16,monthly,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014946,CUST_010006,PROD_000016,OPP_021496,EMP_000331,active,new,2026-06-13,2027-06-12,2027-04-13,14594.61,monthly,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014947,CUST_010007,PROD_000004,OPP_021497,EMP_000200,active,new,2026-06-13,2027-06-12,2027-04-13,67641.19,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014948,CUST_010008,PROD_000009,OPP_021498,EMP_000154,active,new,2026-06-13,2027-06-12,2027-04-13,261531.13,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014949,CUST_010009,PROD_000009,OPP_021499,EMP_000045,active,new,2026-06-13,2027-06-12,2027-04-13,12377.22,monthly,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014950,CUST_010010,PROD_000018,OPP_021500,EMP_000371,active,new,2026-06-13,2027-06-12,2027-04-13,11096.61,monthly,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014951,CUST_010011,PROD_000015,OPP_021501,EMP_000357,active,new,2026-06-13,2027-06-12,2027-04-13,58666.93,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014952,CUST_010012,PROD_000001,OPP_021502,EMP_000341,active,new,2026-06-13,2027-06-12,2027-04-13,174109.88,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014953,CUST_010013,PROD_000002,OPP_021503,EMP_000390,active,new,2026-06-13,2027-06-12,2027-04-13,10356.91,monthly,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014954,CUST_010014,PROD_000004,OPP_021504,EMP_000149,active,new,2026-06-13,2027-06-12,2027-04-13,14379.84,monthly,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014955,CUST_010015,PROD_000016,OPP_021505,EMP_000286,active,new,2026-06-13,2027-06-12,2027-04-13,51588.71,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014956,CUST_000005,PROD_000002,OPP_021506,EMP_000174,active,expansion,2026-06-13,2027-06-12,2027-04-13,11137.80,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014957,CUST_000007,PROD_000002,OPP_021507,EMP_000027,active,expansion,2026-06-13,2027-06-12,2027-04-13,2675.93,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014958,CUST_000008,PROD_000001,OPP_021508,EMP_000040,active,expansion,2026-06-13,2027-06-12,2027-04-13,10568.74,annual,true,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_014959,CUST_000010,PROD_000001,OPP_021509,EMP_000381,active,expansion,2026-06-13,2027-06-12,2027-04-13,2765.52,monthly,false,,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_000005,CUST_000002,PROD_000007,OPP_000006,EMP_000029,canceled,renewal,2024-04-24,2026-04-23,2026-02-22,7314.27,quarterly,true,2026-06-13,support_experience,2024-04-24 09:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_000006,CUST_000003,PROD_000007,OPP_000007,EMP_000084,canceled,new,2026-04-08,2029-04-07,2029-02-06,13495.11,monthly,false,2026-06-13,budget_constraints,2026-04-08 09:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
CNTR_000007,CUST_000004,PROD_000002,OPP_000008,EMP_000133,canceled,new,2023-03-03,2026-03-02,2026-01-01,9649.74,annual,true,2026-06-13,budget_constraints,2023-03-03 09:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
