opportunity_id,customer_id,primary_contact_id,owner_employee_id,product_id,opportunity_name,opportunity_type,stage,amount,probability,lead_source,created_date,expected_close_date,closed_date,is_won,loss_reason,created_at,updated_at,batch_id
OPP_021491,CUST_010001,CONT_026811,EMP_000113,PROD_000015,Apex Services Incremental 1 new business,new_business,closed_won,10207.37,100,Referral,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021492,CUST_010002,CONT_026813,EMP_000254,PROD_000007,Brightline Systems Incremental 2 new business,new_business,closed_won,15093.45,100,Paid Search,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021493,CUST_010003,CONT_026814,EMP_000305,PROD_000004,Canyon Group Incremental 3 new business,new_business,closed_won,78223.46,100,Partner,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021494,CUST_010004,CONT_026815,EMP_000311,PROD_000001,Evergreen Operations Incremental 4 new business,new_business,closed_won,179026.83,100,Outbound,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021495,CUST_010005,CONT_026817,EMP_000403,PROD_000001,Frontier Solutions Incremental 5 new business,new_business,closed_won,10140.16,100,Organic Search,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021496,CUST_010006,CONT_026818,EMP_000331,PROD_000016,Harbor Services Incremental 6 new business,new_business,closed_won,14594.61,100,Webinar,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021497,CUST_010007,CONT_026819,EMP_000200,PROD_000004,Ironwood Systems Incremental 7 new business,new_business,closed_won,67641.19,100,Referral,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021498,CUST_010008,CONT_026821,EMP_000154,PROD_000009,Juniper Group Incremental 8 new business,new_business,closed_won,261531.13,100,Paid Search,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021499,CUST_010009,CONT_026822,EMP_000045,PROD_000009,Keystone Operations Incremental 9 new business,new_business,closed_won,12377.22,100,Partner,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021500,CUST_010010,CONT_026823,EMP_000371,PROD_000018,Lighthouse Solutions Incremental 10 new business,new_business,closed_won,11096.61,100,Outbound,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021501,CUST_010011,CONT_026825,EMP_000357,PROD_000015,Meridian Services Incremental 11 new business,new_business,closed_won,58666.93,100,Organic Search,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021502,CUST_010012,CONT_026826,EMP_000341,PROD_000001,Northstar Systems Incremental 12 new business,new_business,closed_won,174109.88,100,Webinar,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021503,CUST_010013,CONT_026827,EMP_000390,PROD_000002,Pioneer Group Incremental 13 new business,new_business,closed_won,10356.91,100,Referral,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021504,CUST_010014,CONT_026829,EMP_000149,PROD_000004,Summit Operations Incremental 14 new business,new_business,closed_won,14379.84,100,Paid Search,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021505,CUST_010015,CONT_026830,EMP_000286,PROD_000016,Trailhead Solutions Incremental 15 new business,new_business,closed_won,51588.71,100,Partner,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021506,CUST_000005,CONT_000009,EMP_000174,PROD_000002,Frontier Capital Company 5 North expansion add-on,expansion,closed_won,11137.80,100,Customer Success Referral,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021507,CUST_000007,CONT_000017,EMP_000027,PROD_000002,Summit Networks Labs 7 North expansion add-on,expansion,closed_won,2675.93,100,Customer Success Referral,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021508,CUST_000008,CONT_000018,EMP_000040,PROD_000001,Waypoint Insights Company 8 North expansion add-on,expansion,closed_won,10568.74,100,Customer Success Referral,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
OPP_021509,CUST_000010,CONT_000023,EMP_000381,PROD_000001,Frontier Holdings Solutions 10 North expansion add-on,expansion,closed_won,2765.52,100,Customer Success Referral,2026-06-13,2026-06-13,2026-06-13,true,,2026-06-13 15:00:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
