service_event_id,customer_id,contact_id,employee_id,case_id,contract_id,product_id,event_type,event_direction,event_channel,event_at,duration_minutes,sentiment_score,outcome_category,created_at,updated_at,batch_id
SEVT_188261,CUST_010001,CONT_026811,EMP_000218,CASE_054701,CNTR_014941,PROD_000015,onboarding_kickoff,outbound,video,2026-06-13 09:15:00,63,18,next_step_scheduled,2026-06-13 09:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188262,CUST_010002,CONT_026813,EMP_000159,,CNTR_014942,PROD_000007,onboarding_kickoff,outbound,video,2026-06-13 10:15:00,62,65,next_step_scheduled,2026-06-13 10:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188263,CUST_010003,CONT_026814,EMP_000319,,CNTR_014943,PROD_000004,onboarding_kickoff,outbound,video,2026-06-13 11:15:00,67,23,next_step_scheduled,2026-06-13 11:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188264,CUST_010004,CONT_026815,EMP_000220,CASE_054702,CNTR_014944,PROD_000001,onboarding_kickoff,outbound,video,2026-06-13 12:15:00,53,38,next_step_scheduled,2026-06-13 12:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188265,CUST_010005,CONT_026817,EMP_000133,,CNTR_014945,PROD_000001,onboarding_kickoff,outbound,video,2026-06-13 13:15:00,50,23,next_step_scheduled,2026-06-13 13:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188266,CUST_010006,CONT_026818,EMP_000240,,CNTR_014946,PROD_000016,onboarding_kickoff,outbound,video,2026-06-13 14:15:00,50,49,next_step_scheduled,2026-06-13 14:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188267,CUST_010007,CONT_026819,EMP_000360,CASE_054703,CNTR_014947,PROD_000004,onboarding_kickoff,outbound,video,2026-06-13 15:15:00,53,65,next_step_scheduled,2026-06-13 15:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188268,CUST_010008,CONT_026821,EMP_000179,,CNTR_014948,PROD_000009,onboarding_kickoff,outbound,video,2026-06-13 09:15:00,58,32,next_step_scheduled,2026-06-13 09:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188269,CUST_010009,CONT_026822,EMP_000116,,CNTR_014949,PROD_000009,onboarding_kickoff,outbound,video,2026-06-13 10:15:00,51,47,next_step_scheduled,2026-06-13 10:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188270,CUST_010010,CONT_026823,EMP_000397,CASE_054704,CNTR_014950,PROD_000018,onboarding_kickoff,outbound,video,2026-06-13 11:15:00,58,30,next_step_scheduled,2026-06-13 11:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188271,CUST_010011,CONT_026825,EMP_000187,,CNTR_014951,PROD_000015,onboarding_kickoff,outbound,video,2026-06-13 12:15:00,68,51,next_step_scheduled,2026-06-13 12:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188272,CUST_010012,CONT_026826,EMP_000396,,CNTR_014952,PROD_000001,onboarding_kickoff,outbound,video,2026-06-13 13:15:00,33,28,next_step_scheduled,2026-06-13 13:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188273,CUST_010013,CONT_026827,EMP_000159,CASE_054705,CNTR_014953,PROD_000002,onboarding_kickoff,outbound,video,2026-06-13 14:15:00,74,39,next_step_scheduled,2026-06-13 14:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188274,CUST_010014,CONT_026829,EMP_000008,,CNTR_014954,PROD_000004,onboarding_kickoff,outbound,video,2026-06-13 15:15:00,37,43,next_step_scheduled,2026-06-13 15:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188275,CUST_010015,CONT_026830,EMP_000397,,CNTR_014955,PROD_000016,onboarding_kickoff,outbound,video,2026-06-13 09:15:00,33,37,next_step_scheduled,2026-06-13 09:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188276,CUST_000002,CONT_000002,EMP_000100,CASE_054706,CNTR_000005,PROD_000007,save_attempt,outbound,phone,2026-06-13 14:15:00,48,-72,churn_confirmed,2026-06-13 14:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188277,CUST_000003,CONT_000004,EMP_000275,CASE_054707,CNTR_000006,PROD_000007,save_attempt,outbound,phone,2026-06-13 14:15:00,48,-72,churn_confirmed,2026-06-13 14:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188278,CUST_000004,CONT_000007,EMP_000316,CASE_054708,CNTR_000007,PROD_000002,save_attempt,outbound,phone,2026-06-13 14:15:00,48,-72,churn_confirmed,2026-06-13 14:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188279,CUST_000005,CONT_000009,EMP_000147,,CNTR_014956,PROD_000002,business_review,outbound,video,2026-06-13 13:15:00,55,64,expansion_identified,2026-06-13 13:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188280,CUST_000007,CONT_000017,EMP_000170,,CNTR_014957,PROD_000002,business_review,outbound,video,2026-06-13 13:15:00,55,64,expansion_identified,2026-06-13 13:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188281,CUST_000008,CONT_000018,EMP_000092,,CNTR_014958,PROD_000001,business_review,outbound,video,2026-06-13 13:15:00,55,64,expansion_identified,2026-06-13 13:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188282,CUST_000010,CONT_000023,EMP_000029,,CNTR_014959,PROD_000001,business_review,outbound,video,2026-06-13 13:15:00,55,64,expansion_identified,2026-06-13 13:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188283,CUST_000011,CONT_000025,EMP_000298,CASE_054709,CNTR_000017,PROD_000012,support_session,inbound,phone,2026-06-13 15:15:00,72,-38,escalation_required,2026-06-13 15:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188284,CUST_000012,CONT_000030,EMP_000418,CASE_054710,CNTR_000018,PROD_000016,support_session,inbound,phone,2026-06-13 15:15:00,72,-38,escalation_required,2026-06-13 15:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
SEVT_188285,CUST_000013,CONT_000033,EMP_000243,CASE_054711,CNTR_000019,PROD_000001,support_session,inbound,phone,2026-06-13 15:15:00,72,-38,escalation_required,2026-06-13 15:15:00,2026-06-13 15:00:00,batch_2026_06_13_incremental1
